period,posts,avg_sentiment,positive_rate,negative_rate,rolling_mean,rolling_std,z_score,trend_flag
2017-02-22,33,0.5151515151515151,0.7272727272727273,0.21212121212121213,0.7474097995437496,0.15893573340530812,-1.4613345873576695,normal
2017-02-23,23,0.6521739130434783,0.8260869565217391,0.17391304347826086,0.7215298823594846,0.1573541831574293,-0.440763428873176,normal
2017-02-24,87,0.6896551724137931,0.8045977011494253,0.11494252873563218,0.7003609301560496,0.1488363859005804,-0.07192970776250697,normal
2017-02-25,75,0.9333333333333333,0.9466666666666667,0.013333333333333334,0.7124821422772617,0.16543911145080398,1.3349394174046043,normal
2017-02-26,42,0.8333333333333334,0.9047619047619048,0.07142857142857142,0.7034509435908907,0.15511987791764456,0.8373033262145757,normal
2017-02-27,31,0.9354838709677419,0.9354838709677419,0.0,0.7619035266614703,0.15433650704477617,1.124687526172355,normal
2017-02-28,25,0.64,0.72,0.08,0.742733019749028,0.16075623952235923,-0.6390608542117522,normal
2017-03-01,25,0.2,0.52,0.32,0.6977113747273828,0.25286114803717424,-1.9683188919723325,normal
2017-03-02,15,0.5333333333333333,0.7333333333333333,0.2,0.6807341490545051,0.2603079771652425,-0.5662554691038236,normal
2017-03-03,128,0.8125,0.875,0.0625,0.6982834101382489,0.2651063549850255,0.43083308911324514,normal
2017-03-04,68,0.7647058823529411,0.8529411764705882,0.08823529411764706,0.6741937742839071,0.24724804726313848,0.3660781513582784,normal
2017-03-05,43,0.9302325581395349,0.9534883720930233,0.023255813953488372,0.6880365206847932,0.2600252197515334,0.9314328728812216,normal
2017-03-06,37,0.8378378378378378,0.8918918918918919,0.05405405405405406,0.674087087380521,0.24682207696812755,0.6634364011063003,normal
2017-03-07,39,0.6923076923076923,0.8205128205128205,0.1282051282051282,0.6815596148530485,0.24640955620105076,0.04361875253683021,normal
2017-03-08,19,0.8421052631578947,0.8421052631578947,0.0,0.7732889381613192,0.12863473971757358,0.5349746510753355,normal
2017-03-09,15,0.4666666666666667,0.6666666666666666,0.2,0.7637651286375097,0.15004720480929917,-1.9800332991769956,normal
2017-03-10,114,0.8070175438596491,0.8421052631578947,0.03508771929824561,0.7629819206174595,0.14976446611191066,0.29403251909758216,normal
2017-03-11,78,0.6923076923076923,0.8076923076923077,0.11538461538461539,0.7526393220395668,0.15210712285777717,-0.39663908302496587,normal
2017-03-12,26,0.5384615384615384,0.6538461538461539,0.11538461538461539,0.6966720335141388,0.14788839526263453,-1.0697965501054685,normal
2017-03-13,44,0.6136363636363636,0.7727272727272727,0.1590909090909091,0.6646432514853567,0.13602211997447727,-0.37498965505436804,normal
2017-03-14,35,0.7142857142857143,0.8285714285714286,0.11428571428571428,0.6677829689107886,0.1370171222769853,0.3393936801629701,normal
2017-03-15,201,0.8507462686567164,0.8855721393034826,0.03482587064676617,0.6690173982677631,0.13887571833230367,1.3085719560716158,normal
2017-03-16,122,0.7950819672131147,0.8524590163934426,0.05737704918032787,0.7159338697743985,0.11199491113984318,0.7067115517408412,normal
2017-03-17,152,0.8618421052631579,0.8947368421052632,0.03289473684210526,0.7237659499748997,0.12098260747178621,1.1412892991288703,normal
2017-03-18,81,0.7037037037037037,0.7901234567901234,0.08641975308641975,0.7253939516029014,0.12056469002774547,-0.17990547559327819,normal
2017-03-19,43,0.7906976744186046,0.8604651162790697,0.06976744186046512,0.7614276853110536,0.08892591135790621,0.3291502854521899,normal
2017-03-20,49,0.9387755102040817,0.9591836734693877,0.02040816326530612,0.8078761348207275,0.08362084395648893,1.5653917036697935,normal
2017-03-21,24,0.5833333333333334,0.75,0.16666666666666666,0.7891686518275305,0.11630791511348515,-1.7697447185202948,normal
2017-03-22,20,0.9,0.9,0.0,0.7962048991622852,0.12200437841579585,0.8507489828272959,normal
2017-03-23,35,0.7428571428571429,0.8285714285714286,0.08571428571428572,0.788744209968575,0.12366992295330784,-0.371044680999413,normal
