period,posts,avg_sentiment,positive_rate,negative_rate
2015-09-18,9,0.7777777777777778,0.7777777777777778,0.0
2015-09-19,4,1.0,1.0,0.0
2015-09-20,6,0.6666666666666666,0.6666666666666666,0.0
2015-09-21,6,0.16666666666666666,0.5,0.3333333333333333
2015-09-22,7,0.8571428571428571,0.8571428571428571,0.0
2015-09-23,5,0.4,0.6,0.2
2015-09-24,8,1.0,1.0,0.0
2015-09-25,11,0.6363636363636364,0.7272727272727273,0.09090909090909091
2015-09-26,8,1.0,1.0,0.0
2015-09-27,14,0.35714285714285715,0.6428571428571429,0.2857142857142857
2015-09-28,12,0.5,0.6666666666666666,0.16666666666666666
2015-09-29,9,1.0,1.0,0.0
2015-09-30,9,0.6666666666666666,0.7777777777777778,0.1111111111111111
2015-10-01,6,0.3333333333333333,0.6666666666666666,0.3333333333333333
2015-10-02,7,0.8571428571428571,0.8571428571428571,0.0
2015-10-03,6,1.0,1.0,0.0
2015-10-04,9,0.5555555555555556,0.6666666666666666,0.1111111111111111
2015-10-05,12,0.6666666666666666,0.8333333333333334,0.16666666666666666
2015-10-06,10,0.7,0.8,0.1
2015-10-07,11,0.8181818181818182,0.9090909090909091,0.09090909090909091
2015-10-08,11,0.6363636363636364,0.8181818181818182,0.18181818181818182
2015-10-09,9,0.5555555555555556,0.7777777777777778,0.2222222222222222
2015-10-10,7,0.7142857142857143,0.8571428571428571,0.14285714285714285
2015-10-11,6,1.0,1.0,0.0
2015-10-12,16,0.875,0.875,0.0
2015-10-13,11,1.0,1.0,0.0
2015-10-14,18,0.5555555555555556,0.7222222222222222,0.16666666666666666
2015-10-15,14,0.5714285714285714,0.7142857142857143,0.14285714285714285
2015-10-16,8,0.75,0.875,0.125
2015-10-17,12,0.8333333333333334,0.8333333333333334,0.0
2015-10-18,8,0.75,0.875,0.125
2015-10-19,8,0.75,0.75,0.0
2015-10-20,15,0.2,0.4666666666666667,0.26666666666666666
2015-10-21,11,0.6363636363636364,0.6363636363636364,0.0
2015-10-22,15,0.6666666666666666,0.8,0.13333333333333333
2015-10-23,18,0.8333333333333334,0.8333333333333334,0.0
2015-10-24,6,0.16666666666666666,0.5,0.3333333333333333
2015-10-25,4,0.5,0.75,0.25
2015-10-26,3,0.6666666666666666,0.6666666666666666,0.0
2015-10-27,19,0.9473684210526315,0.9473684210526315,0.0
2015-10-28,15,0.6666666666666666,0.8,0.13333333333333333
2015-10-29,7,0.7142857142857143,0.7142857142857143,0.0
2015-10-30,7,0.14285714285714285,0.42857142857142855,0.2857142857142857
2015-10-31,7,0.0,0.42857142857142855,0.42857142857142855
2015-11-01,7,0.42857142857142855,0.7142857142857143,0.2857142857142857
2015-11-02,15,0.6666666666666666,0.8,0.13333333333333333
2015-11-03,17,0.29411764705882354,0.6470588235294118,0.35294117647058826
2015-11-04,11,0.45454545454545453,0.7272727272727273,0.2727272727272727
2015-11-05,11,0.2727272727272727,0.5454545454545454,0.2727272727272727
2015-11-06,11,0.45454545454545453,0.7272727272727273,0.2727272727272727
2015-11-07,11,1.0,1.0,0.0
2015-11-08,12,0.8333333333333334,0.8333333333333334,0.0
2015-11-09,20,0.9,0.95,0.05
2015-11-10,19,0.5263157894736842,0.631578947368421,0.10526315789473684
2015-11-11,9,0.7777777777777778,0.8888888888888888,0.1111111111111111
2015-11-12,15,0.4,0.6,0.2
2015-11-13,13,0.7692307692307693,0.8461538461538461,0.07692307692307693
2015-11-14,13,1.0,1.0,0.0
2015-11-15,16,0.625,0.75,0.125
2015-11-16,25,0.92,0.92,0.0
